Name	ingredients
Westsoy - Unsweetened Organic Soy Milk	filtered water
Westsoy - Unsweetened Organic Soy Milk	whole organic soybeans
Japanese Steakhouse - Salad	lettuce
Japanese Steakhouse - Salad	soybean oil
Japanese Steakhouse - Salad	water
Japanese Steakhouse - Salad	ketchup (tomato concentrate
Japanese Steakhouse - Salad	distilled vinegar
Japanese Steakhouse - Salad	high fructose corn syrup
Japanese Steakhouse - Salad	corn syrup
Japanese Steakhouse - Salad	salt
Japanese Steakhouse - Salad	spice
Japanese Steakhouse - Salad	onion powder
Japanese Steakhouse - Salad	natural flavoring)
Japanese Steakhouse - Salad	sugar
Japanese Steakhouse - Salad	ginger
Japanese Steakhouse - Salad	corn syrup
Japanese Steakhouse - Salad	distilled vinegar
Japanese Steakhouse - Salad	soy sauce [water
Japanese Steakhouse - Salad	salt
Japanese Steakhouse - Salad	hydrolyzed soy protein
Japanese Steakhouse - Salad	corn syr
Earth balance - Margarine	natural oil blend (palm fruit
Earth balance - Margarine	canola
Earth balance - Margarine	soybean
Earth balance - Margarine	flax
Earth balance - Margarine	and olive oils)
Earth balance - Margarine	filtered water
Earth balance - Margarine	contains less than 2% of pure salt
Earth balance - Margarine	natural flavor (plant derived from corn
Earth balance - Margarine	no msg
Earth balance - Margarine	no alcohol
Earth balance - Margarine	no gluten)
Earth balance - Margarine	pea protein
Earth balance - Margarine	sunflower lecithin
Earth balance - Margarine	lactic acid
Dei Fratelli - Pizza Sauce	tomatoes
Dei Fratelli - Pizza Sauce	cane sugar
Dei Fratelli - Pizza Sauce	sea salt
Dei Fratelli - Pizza Sauce	corn starch
Dei Fratelli - Pizza Sauce	dehydrated onion
Dei Fratelli - Pizza Sauce	olive oil
Dei Fratelli - Pizza Sauce	oregano
Dei Fratelli - Pizza Sauce	dehydrated garlic
Dei Fratelli - Pizza Sauce	black pepper
Dei Fratelli - Pizza Sauce	basil
Dei Fratelli - Pizza Sauce	citric acid
Dei Fratelli - Pizza Sauce	peppers
Dei Fratelli - Pizza Sauce	basil oil
Dei Fratelli - Pizza Sauce	oregano
Sushi chef - Miso Soup	freeze-dried miso (rice soybean
Sushi chef - Miso Soup	salt)
Sushi chef - Miso Soup	shitake powder
Sushi chef - Miso Soup	dehydrated seaweed
Sushi chef - Miso Soup	dehydrated chives
Sushi chef - Miso Soup	freeze-dried tofu
Sushi chef - Miso Soup	dextrose (corn)
Sushi chef - Miso Soup	yeast extract
Sushi chef - Miso Soup	tangle powder (tangle extract
Sushi chef - Miso Soup	dextrin
Sushi chef - Miso Soup	maltose syrup
Sushi chef - Miso Soup	slat
Sushi chef - Miso Soup	sugar
Sushi chef - Miso Soup	yeast extract)
Organic Full Circle - Toasted Oats Cereal	organic whole grain oats
Organic Full Circle - Toasted Oats Cereal	organic rice
Organic Full Circle - Toasted Oats Cereal	organic cane sugar
Organic Full Circle - Toasted Oats Cereal	sea salt
Organic Full Circle - Toasted Oats Cereal	calcium carbonate
Organic Full Circle - Toasted Oats Cereal	tocopherols
Banana - Banana	banana
Salsa Fry-Up  1 Cup	ground beef
Salsa Fry-Up  1 Cup	tomatoes
Salsa Fry-Up  1 Cup	bell peppers
Salsa Fry-Up  1 Cup	onions
Salsa Fry-Up  1 Cup	garlic
Salsa Fry-Up  1 Cup	frozen corn
Salsa Fry-Up  1 Cup	salt
Salsa Fry-Up  1 Cup	brown rice
Salsa Fry-Up  1 Cup	cabbage
Pizza crust	whole wheat
Pizza crust	yeast
Pizza crust	salt
Pizza crust	canola oil
Generic - Seaweed Salad	seaweed
Generic - Seaweed Salad	agar-agar
Generic - Seaweed Salad	sesame seed
Generic - Seaweed Salad	sesame oil
Generic - Seaweed Salad	kikurage mushroom
Generic - Seaweed Salad	sugar
Generic - Seaweed Salad	vinegar
Generic - Seaweed Salad	salt
Generic - Seaweed Salad	red pepper
Generic - Seaweed Salad	disodium 5' - inosinate
Generic - Seaweed Salad	disodium 5' - guanylate
Generic - Seaweed Salad	fd&c yellow #5
Generic - Seaweed Salad	fd&c blue #1
Generic - Seaweed Salad	potassium sorbate.
Beef Tips 1c	chuck roast
Beef Tips 1c	carrots
Beef Tips 1c	cabbage
Beef Tips 1c	mccormick montreal steak seasoning
Justins - Maple Almond Butter	dry roasted almonds
Justins - Maple Almond Butter	maple sugar
Justins - Maple Almond Butter	palm oil
Justins - Maple Almond Butter	sea salt.
Salmon Burger	canned salmon
Salmon Burger	egg
Salmon Burger	saltines
Salmon Burger	mccormick montreal steak seasoning
Homemade berry jam	raspberries
Homemade berry jam	sugar
Homemade berry jam	lemon juice
Morinaga - Extra Firm Silken Tofu	filtered water
Morinaga - Extra Firm Silken Tofu	soybeans
Morinaga - Extra Firm Silken Tofu	isolated soy protein
Morinaga - Extra Firm Silken Tofu	gluconolactone*
Morinaga - Extra Firm Silken Tofu	calcium chloride
Rice - Brown	brown rice
Kalamata olives - Peloponnese	organic kalamata olives
Kalamata olives - Peloponnese	water
Kalamata olives - Peloponnese	organic red wine vinegar
Kalamata olives - Peloponnese	sea salt
Kind Bar - Cashew &amp; Ginger Spice	cashews
Kind Bar - Cashew &amp; Ginger Spice	almonds
Kind Bar - Cashew &amp; Ginger Spice	peanuts
Kind Bar - Cashew &amp; Ginger Spice	chicory root fiber
Kind Bar - Cashew &amp; Ginger Spice	honey
Kind Bar - Cashew &amp; Ginger Spice	non gmo glucose
Kind Bar - Cashew &amp; Ginger Spice	crisp rice
Kind Bar - Cashew &amp; Ginger Spice	ginger
Kind Bar - Cashew &amp; Ginger Spice	sugar
Kind Bar - Cashew &amp; Ginger Spice	spices
Kind Bar - Cashew &amp; Ginger Spice	soy lecithin
Alexis Sweet Potato Fries - Fries	non-gmo corn meal
Alexis Sweet Potato Fries - Fries	sunflower oil. sweet potato powder
Alexis Sweet Potato Fries - Fries	cane sugar
Alexis Sweet Potato Fries - Fries	salt
Alexis Sweet Potato Fries - Fries	rice flour
Alexis Sweet Potato Fries - Fries	molasses powder
Alexis Sweet Potato Fries - Fries	whey
Alexis Sweet Potato Fries - Fries	caramel color
Alexis Sweet Potato Fries - Fries	natural flavors
Alexis Sweet Potato Fries - Fries	calcium carbonate.
Homemade - Baked Apple Compote (Apples &amp; Raisins)	apple
Homemade - Baked Apple Compote (Apples &amp; Raisins)	pear
Homemade - Baked Apple Compote (Apples &amp; Raisins)	dried cherries
Homemade - Baked Apple Compote (Apples &amp; Raisins)	sugar
Homemade - Baked Apple Compote (Apples &amp; Raisins)	cinnamon
Homemade - Baked Apple Compote (Apples &amp; Raisins)	cloves
Homemade - Baked Apple Compote (Apples &amp; Raisins)	candied ginger
Homemade - Baked Apple Compote (Apples &amp; Raisins)	dried ginger
Angelic - Sprouted Seven Grain Hot Dog Buns	whole sprouted grains of red wheat berries
Angelic - Sprouted Seven Grain Hot Dog Buns	quinoa
Angelic - Sprouted Seven Grain Hot Dog Buns	oat groats
Angelic - Sprouted Seven Grain Hot Dog Buns	rye berries
Angelic - Sprouted Seven Grain Hot Dog Buns	barley
Angelic - Sprouted Seven Grain Hot Dog Buns	amaranth
Angelic - Sprouted Seven Grain Hot Dog Buns	and millet
Angelic - Sprouted Seven Grain Hot Dog Buns	water
Angelic - Sprouted Seven Grain Hot Dog Buns	wheat flour
Angelic - Sprouted Seven Grain Hot Dog Buns	vital wheat gluten. 100% domestic honey
Angelic - Sprouted Seven Grain Hot Dog Buns	sunflower oil
Angelic - Sprouted Seven Grain Hot Dog Buns	oat fiber
Angelic - Sprouted Seven Grain Hot Dog Buns	yeast
Angelic - Sprouted Seven Grain Hot Dog Buns	molasses
Angelic - Sprouted Seven Grain Hot Dog Buns	salt
Angelic - Sprouted Seven Grain Hot Dog Buns	cultured whea
Brussels sprouts	brussels sprouts
Nature&#x27;s Path - Organic - Heritage Flakes	kamut khorasan wheat flour*
Nature&#x27;s Path - Organic - Heritage Flakes	wheat bran*
Nature&#x27;s Path - Organic - Heritage Flakes	whole wheat meal*
Nature&#x27;s Path - Organic - Heritage Flakes	cane sugar*
Nature&#x27;s Path - Organic - Heritage Flakes	whole oat flour*
Nature&#x27;s Path - Organic - Heritage Flakes	spelt flour*
Nature&#x27;s Path - Organic - Heritage Flakes	barley flour*
Nature&#x27;s Path - Organic - Heritage Flakes	whole millet*
Nature&#x27;s Path - Organic - Heritage Flakes	barley malt extract*
Nature&#x27;s Path - Organic - Heritage Flakes	quinoa*
Nature&#x27;s Path - Organic - Heritage Flakes	sea salt
Nature&#x27;s Path - Organic - Heritage Flakes	honey
Green and black - Dark Chocolate	organic bittersweet chocolate
Green and black - Dark Chocolate	organic chocolate
Green and black - Dark Chocolate	organic raw cane sugar
Green and black - Dark Chocolate	organic cocoa butter
Green and black - Dark Chocolate	soy lecithin [emulsifier]
Green and black - Dark Chocolate	organic vanilla
Applegate - Applegate Super Natural Uncured Beef Hot Dog	grass-fed beef**
Applegate - Applegate Super Natural Uncured Beef Hot Dog	water. contains less than 2% of the following: sea salt
Applegate - Applegate Super Natural Uncured Beef Hot Dog	paprika
Applegate - Applegate Super Natural Uncured Beef Hot Dog	dehydrated onion
Applegate - Applegate Super Natural Uncured Beef Hot Dog	spices
Applegate - Applegate Super Natural Uncured Beef Hot Dog	nutmeg oil
Applegate - Applegate Super Natural Uncured Beef Hot Dog	celery powder
Roasted Carrots And Parsnips	carrots
Roasted Carrots And Parsnips	parsnips
Roasted Carrots And Parsnips	olive oil
Roasted Carrots And Parsnips	salt
Mashed Potatoes 1c	potatoes
Mashed Potatoes 1c	edensoy unsweetened soy milk
Mashed Potatoes 1c	earth balance margarine
Mashed Potatoes 1c	salt
Irish Brown Bread	whole wheat flour
Irish Brown Bread	white flour
Irish Brown Bread	salt
Irish Brown Bread	baking soda
Irish Brown Bread	malt vinegar
Irish Brown Bread	egg
Irish Brown Bread	honey
Irish Brown Bread	edensoy unsweetened soy milk
Irish Brown Bread	earth balance margarine
Generic - Avocado Cucumber Sushi Roll	nori
Generic - Avocado Cucumber Sushi Roll	sushi rice
Generic - Avocado Cucumber Sushi Roll	cucumber
Generic - Avocado Cucumber Sushi Roll	avocado
Dates	chopped dates
Dates	dextrose
Chicken veg soup 1c	carrots
Chicken veg soup 1c	chicken
Chicken veg soup 1c	water
Chicken veg soup 1c	salt
Chicken veg soup 1c	leeks
Chicken veg soup 1c	ginger
Eat Well Enjoy Life - Wasabi Edamame Hummus	edamame (soybeans)
Eat Well Enjoy Life - Wasabi Edamame Hummus	water
Eat Well Enjoy Life - Wasabi Edamame Hummus	canola & olive oil
Eat Well Enjoy Life - Wasabi Edamame Hummus	roasted red peppers
Eat Well Enjoy Life - Wasabi Edamame Hummus	tahini (ground sesame)
Eat Well Enjoy Life - Wasabi Edamame Hummus	garlic salt
Eat Well Enjoy Life - Wasabi Edamame Hummus	onion
Eat Well Enjoy Life - Wasabi Edamame Hummus	citric acid
Eat Well Enjoy Life - Wasabi Edamame Hummus	sesame seeds
Eat Well Enjoy Life - Wasabi Edamame Hummus	spices
Eat Well Enjoy Life - Wasabi Edamame Hummus	potassium sorbate
Veg Soup No Potato 1c	carrots
Veg Soup No Potato 1c	chicken
Veg Soup No Potato 1c	water
Veg Soup No Potato 1c	salt
Veg Soup No Potato 1c	leeks
Veg Soup No Potato 1c	ginger
Generic - Organic Grassfed Ground Beef	ground beef
California. Roll - California Roll	nori
California. Roll - California Roll	sushi rice
California. Roll - California Roll	crab stick
California. Roll - California Roll	avocado
California. Roll - California Roll	cumuber
Bell &amp; Evans - Chicken Nuggets	chicken breast meat. marinated in water and sea salt. breaded with rice flour
Bell &amp; Evans - Chicken Nuggets	water
Bell &amp; Evans - Chicken Nuggets	yellow corn flour
Bell &amp; Evans - Chicken Nuggets	sea salt
Bell &amp; Evans - Chicken Nuggets	xanthan gum
Bell &amp; Evans - Chicken Nuggets	dried whole eggs
Bell &amp; Evans - Chicken Nuggets	yeast
Bell &amp; Evans - Chicken Nuggets	cane sugar
Bell &amp; Evans - Chicken Nuggets	black pepper
Bell &amp; Evans - Chicken Nuggets	onion powder
Bell &amp; Evans - Chicken Nuggets	garlic powder.
Angelic Bakehouse - Sprouted Seven-grain Hamburger Buns	whole sprouted grains of red wheat berries
Angelic Bakehouse - Sprouted Seven-grain Hamburger Buns	quinoa
Angelic Bakehouse - Sprouted Seven-grain Hamburger Buns	oat groats
Angelic Bakehouse - Sprouted Seven-grain Hamburger Buns	rye berries
Angelic Bakehouse - Sprouted Seven-grain Hamburger Buns	barley
Angelic Bakehouse - Sprouted Seven-grain Hamburger Buns	amaranth
Angelic Bakehouse - Sprouted Seven-grain Hamburger Buns	and millet
Angelic Bakehouse - Sprouted Seven-grain Hamburger Buns	water
Angelic Bakehouse - Sprouted Seven-grain Hamburger Buns	wheat flour
Angelic Bakehouse - Sprouted Seven-grain Hamburger Buns	vital wheat gluten. 100% domestic honey
Angelic Bakehouse - Sprouted Seven-grain Hamburger Buns	sunflower oil
Angelic Bakehouse - Sprouted Seven-grain Hamburger Buns	oat fiber
Angelic Bakehouse - Sprouted Seven-grain Hamburger Buns	yeast
Angelic Bakehouse - Sprouted Seven-grain Hamburger Buns	molasses
Angelic Bakehouse - Sprouted Seven-grain Hamburger Buns	salt
Angelic Bakehouse - Sprouted Seven-grain Hamburger Buns	cultured whea
Omelette 3 Egg	eggs
Omelette 3 Egg	pork sausage
Omelette 3 Egg	spinach
Omelette 3 Egg	red onions
Salmon Burger no bun	canned salmon
Salmon Burger no bun	egg
Salmon Burger no bun	saltines
Salmon Burger no bun	mccormick montreal steak seasoning
Beef Barley Soup 1c.	chuck roast
Beef Barley Soup 1c.	hulled barley
Beef Barley Soup 1c.	carrots
Beef Barley Soup 1c.	cabbage
Beef Barley Soup 1c.	salt
Apples - Apples	apple
Pearson - Cole Slaw Mix	green cabbage
Pearson - Cole Slaw Mix	carrots
Pearson - Cole Slaw Mix	red cabbage
Mid&#x27;s Homestyle Pasta Sauce - Italian Sausage	water
Mid&#x27;s Homestyle Pasta Sauce - Italian Sausage	tomato paste
Mid&#x27;s Homestyle Pasta Sauce - Italian Sausage	italian sausage
Mid&#x27;s Homestyle Pasta Sauce - Italian Sausage	(ground pork
Mid&#x27;s Homestyle Pasta Sauce - Italian Sausage	water
Mid&#x27;s Homestyle Pasta Sauce - Italian Sausage	seasoning
Mid&#x27;s Homestyle Pasta Sauce - Italian Sausage	whole fennel seed
Mid&#x27;s Homestyle Pasta Sauce - Italian Sausage	cayenne pepper)
Mid&#x27;s Homestyle Pasta Sauce - Italian Sausage	sugar
Mid&#x27;s Homestyle Pasta Sauce - Italian Sausage	olive oil
Mid&#x27;s Homestyle Pasta Sauce - Italian Sausage	salt
Mid&#x27;s Homestyle Pasta Sauce - Italian Sausage	onions
Mid&#x27;s Homestyle Pasta Sauce - Italian Sausage	romano cheese (made from 100% pasteurized sheep's milk
Mid&#x27;s Homestyle Pasta Sauce - Italian Sausage	bacterial culture
Mid&#x27;s Homestyle Pasta Sauce - Italian Sausage	salt
Mid&#x27;s Homestyle Pasta Sauce - Italian Sausage	rennet)
Mid&#x27;s Homestyle Pasta Sauce - Italian Sausage	citric acid
Mid&#x27;s Homestyle Pasta Sauce - Italian Sausage	garlic
Mid&#x27;s Homestyle Pasta Sauce - Italian Sausage	spices
Mid&#x27;s Homestyle Pasta Sauce - Italian Sausage	paprika
Meijer - Gummi Trees &amp; Snowmen	corn syrup
Meijer - Gummi Trees &amp; Snowmen	sugar
Meijer - Gummi Trees &amp; Snowmen	gelatin
Meijer - Gummi Trees &amp; Snowmen	citric acid
Meijer - Gummi Trees &amp; Snowmen	sorbitol
Meijer - Gummi Trees &amp; Snowmen	natural and artificial flavors
Meijer - Gummi Trees &amp; Snowmen	titanium dioxide (color)
Meijer - Gummi Trees &amp; Snowmen	artificial colors (fd&c yellow # 5
Meijer - Gummi Trees &amp; Snowmen	blue # 1
Meijer - Gummi Trees &amp; Snowmen	red #40)
Meijer - Gummi Trees &amp; Snowmen	coconut oil
Meijer - Gummi Trees &amp; Snowmen	carnauba wax (for anti-sticking)
Camacho - Corn Tortillas	water
Camacho - Corn Tortillas	stone ground corn masa flour
Camacho - Corn Tortillas	wheat gluten
Camacho - Corn Tortillas	contains less than 2% of each of the following: sea salt
Camacho - Corn Tortillas	aluminum free leavening (sodium acid pyrophosphate
Camacho - Corn Tortillas	sodium bicarbonate
Camacho - Corn Tortillas	corn starch
Camacho - Corn Tortillas	monocalcium phosphate)
Camacho - Corn Tortillas	guar gum
Camacho - Corn Tortillas	cellulose gum
Camacho - Corn Tortillas	fumaric acid
Camacho - Corn Tortillas	trace of lime
Camacho - Corn Tortillas	to maintain freshness (sorbic acid
Camacho - Corn Tortillas	calcium propionate
Camacho - Corn Tortillas	potassium sorbate)
Melissa&#x27;s Produce - Clean Snax - Pumpkin Seed	pumpkin seeds
Melissa&#x27;s Produce - Clean Snax - Pumpkin Seed	flaxseeds
Melissa&#x27;s Produce - Clean Snax - Pumpkin Seed	white sesame seeds
Melissa&#x27;s Produce - Clean Snax - Pumpkin Seed	evaporated cane juice
Melissa&#x27;s Produce - Clean Snax - Pumpkin Seed	rice syrup
Melissa&#x27;s Produce - Clean Snax - Pumpkin Seed	chia seeds
Melissa&#x27;s Produce - Clean Snax - Pumpkin Seed	honey
Melissa&#x27;s Produce - Clean Snax - Pumpkin Seed	sea salt
Roasted roots 1c	carrots
Roasted roots 1c	potatoes
Roasted roots 1c	beets
Roasted roots 1c	parsnips
Roasted roots 1c	olive oil
Roasted roots 1c	mccormick montreal steak seasoning
Louisa - Ravioli Original Beef	enriched extra fancy durum flour and semolina (durum wheat flour
Louisa - Ravioli Original Beef	semolina
Louisa - Ravioli Original Beef	niacin
Louisa - Ravioli Original Beef	iron [ferrous sulfate]
Louisa - Ravioli Original Beef	thiamin mononitrate
Louisa - Ravioli Original Beef	riboflavin
Louisa - Ravioli Original Beef	folic acid)
Louisa - Ravioli Original Beef	cooked beef and vegetables (beef
Louisa - Ravioli Original Beef	onions
Louisa - Ravioli Original Beef	celery
Louisa - Ravioli Original Beef	water
Louisa - Ravioli Original Beef	salt
Louisa - Ravioli Original Beef	corn oil
Louisa - Ravioli Original Beef	spices
Louisa - Ravioli Original Beef	garlic
Louisa - Ravioli Original Beef	beef extract)
Louisa - Ravioli Original Beef	water
Louisa - Ravioli Original Beef	concentrated beef and vegetable broth (beef
Louisa - Ravioli Original Beef	onions
Louisa - Ravioli Original Beef	celery
Louisa - Ravioli Original Beef	water
Louisa - Ravioli Original Beef	salt
Louisa - Ravioli Original Beef	corn oil
Louisa - Ravioli Original Beef	spices
Louisa - Ravioli Original Beef	garlic
Louisa - Ravioli Original Beef	beef extract)
Louisa - Ravioli Original Beef	bread crumbs (enriched wheat flour [enriched with niacin
Louisa - Ravioli Original Beef	reduced iron
Louisa - Ravioli Original Beef	thiamine mononitrate
Louisa - Ravioli Original Beef	riboflavin
Louisa - Ravioli Original Beef	folic acid]
Louisa - Ravioli Original Beef	salt
Louisa - Ravioli Original Beef	leavening [ammonium bicarbonate])
Louisa - Ravioli Original Beef	whole eggs
Louisa - Ravioli Original Beef	spinach
Louisa - Ravioli Original Beef	parmesan cheese (pasteurized part skim milk
Louisa - Ravioli Original Beef	cheese culture
Louisa - Ravioli Original Beef	salt
Louisa - Ravioli Original Beef	enzymes)
Louisa - Ravioli Original Beef	romano cheese made from cow's milk (pasteurized milk
Louisa - Ravioli Original Beef	cheese cultures
Louisa - Ravioli Original Beef	salt
Louisa - Ravioli Original Beef	enzymes)
Louisa - Ravioli Original Beef	beta carotene
Lance - whole grain peanut butter crackers	enriched flour (wheat flour
Lance - whole grain peanut butter crackers	niacin
Lance - whole grain peanut butter crackers	reduced iron
Lance - whole grain peanut butter crackers	thiamine
Lance - whole grain peanut butter crackers	mononitrate
Lance - whole grain peanut butter crackers	riboflavin
Lance - whole grain peanut butter crackers	folic acid)
Lance - whole grain peanut butter crackers	whole wheat flour
Lance - whole grain peanut butter crackers	peanuts
Lance - whole grain peanut butter crackers	vegetable oil (contains one or more of the following: canola oil
Lance - whole grain peanut butter crackers	corn oil
Lance - whole grain peanut butter crackers	palm oil
Lance - whole grain peanut butter crackers	soybean oil)
Lance - whole grain peanut butter crackers	sugar
Lance - whole grain peanut butter crackers	dextrose
Lance - whole grain peanut butter crackers	malted barl
Kind - Dark Chocolate Cinnamon Pecan Bar	mixed nuts (peanuts
Kind - Dark Chocolate Cinnamon Pecan Bar	almonds
Kind - Dark Chocolate Cinnamon Pecan Bar	pecans
Kind - Dark Chocolate Cinnamon Pecan Bar	cashews)
Kind - Dark Chocolate Cinnamon Pecan Bar	chicory root fiber
Kind - Dark Chocolate Cinnamon Pecan Bar	honey
Kind - Dark Chocolate Cinnamon Pecan Bar	palm kernel oil
Kind - Dark Chocolate Cinnamon Pecan Bar	sugar
Kind - Dark Chocolate Cinnamon Pecan Bar	non gmo glucose
Kind - Dark Chocolate Cinnamon Pecan Bar	crisp rice
Kind - Dark Chocolate Cinnamon Pecan Bar	cocoa powder
Kind - Dark Chocolate Cinnamon Pecan Bar	cinnamon
Kind - Dark Chocolate Cinnamon Pecan Bar	soy lecithin
Kind - Dark Chocolate Cinnamon Pecan Bar	milk powder
Kind - Dark Chocolate Cinnamon Pecan Bar	salt
Kind - Dark Chocolate Cinnamon Pecan Bar	vanilla extract
Em&#x27;s beef stir-fry 1 c	chuck roast
Em&#x27;s beef stir-fry 1 c	carrots
Em&#x27;s beef stir-fry 1 c	cabbage
Em&#x27;s beef stir-fry 1 c	broccoli
Em&#x27;s beef stir-fry 1 c	bragg's liquid aminos
Em&#x27;s beef stir-fry 1 c	corn starch
Em&#x27;s beef stir-fry 1 c	christopher ranch chopped garlic
Em&#x27;s beef stir-fry 1 c	christopher ranch chopped garlic
Em&#x27;s beef stir-fry 1 c	garlic chili paste
Home - Fried Potatoes / Onion	potatoes and onions
Qdoba - Side of Guacamole	hass avocada
Qdoba - Side of Guacamole	salt
Qdoba - Side of Guacamole	evaporated cane juice
Qdoba - Side of Guacamole	red bell pepper
Qdoba - Side of Guacamole	onion powder
Qdoba - Side of Guacamole	garlic powder
Qdoba - Side of Guacamole	jalapeno pepper
